sequence,timestamp,pose.x,pose.y,pose.z,pose.roll,pose.pitch,pose.yaw
183,18.3,-2.30898,-7.14699,0.04379,-0.00046,0.02604,1.55635
184,18.4,-2.30512,-7.14325,0.04876,-0.00051,0.02611,1.5569
185,18.5,-2.29914,-7.12571,0.03405,0.00011,0.02563,1.55709
186,18.6,-2.30506,-7.14475,0.04729,-0.00066,0.026,1.55658
187,18.7,-2.30624,-7.14364,0.04605,-0.00033,0.02613,1.5569
188,18.8,-2.30901,-7.15057,0.04912,-0.0009,0.02601,1.55644
189,18.9,-2.30291,-7.1341,0.04511,-0.00065,0.02605,1.55751
190,19,-2.31027,-7.14592,0.04444,-0.00048,0.02604,1.55635
191,19.1,-2.30436,-7.14331,0.04901,-0.00059,0.02626,1.55695
192,19.2,-2.30602,-7.14064,0.04328,-0.00046,0.02615,1.55661
193,19.3,-2.30707,-7.14251,0.04625,-0.00065,0.02569,1.55698
194,19.4,-2.3045,-7.13912,0.04463,-0.00047,0.02619,1.55707
195,19.5,-2.30877,-7.14437,0.04536,-0.00051,0.02595,1.55668
196,19.6,-2.3052,-7.14054,0.04694,-0.00039,0.02639,1.55702
197,19.7,-2.30496,-7.14083,0.04728,-0.0005,0.02607,1.55709
198,19.8,-2.30675,-7.14009,0.04628,-0.00066,0.02588,1.55714
199,19.9,-2.30386,-7.13821,0.0459,-0.00036,0.0264,1.557
200,20,-2.30846,-7.1429,0.04683,-0.00064,0.02625,1.55618
201,20.1,-2.30367,-7.14233,0.04792,-0.00048,0.02612,1.55704
202,20.2,-2.3059,-7.13882,0.042,-0.00039,0.02588,1.55659
203,20.3,-2.30362,-7.14331,0.04867,-0.00034,0.02616,1.55704
204,20.4,-2.30024,-7.13938,0.0459,-0.00054,0.02626,1.55682
205,20.5,-2.30103,-7.13709,0.04826,-0.00044,0.02643,1.55686
206,20.6,-2.30654,-7.14042,0.04306,-0.00053,0.02565,1.55733
207,20.7,-2.30525,-7.13961,0.04583,-0.00033,0.02636,1.5565
208,20.8,-2.30774,-7.14017,0.04676,-0.00058,0.02597,1.55709
209,20.9,-2.30106,-7.13902,0.04693,-0.00033,0.02633,1.55684
210,21,-2.30185,-7.13727,0.04511,-0.00034,0.02651,1.55693
211,21.1,-2.30283,-7.1384,0.04569,-0.00017,0.02592,1.55723
212,21.2,-2.30502,-7.14726,0.04696,-0.00028,0.02629,1.5565
213,21.3,-2.30097,-7.1314,0.04077,-0.00062,0.02558,1.55765
214,21.4,-2.29993,-7.13778,0.0488,-0.00028,0.02659,1.55697
215,21.5,-2.3024,-7.14045,0.04718,-0.00035,0.02665,1.55677
216,21.6,-2.30615,-7.13573,0.04679,-0.00043,0.02591,1.55734
217,21.7,-2.30096,-7.14121,0.04516,-0.00016,0.02623,1.55727
218,21.8,-2.30121,-7.13802,0.04531,-0.0002,0.02628,1.5569
219,21.9,-2.30454,-7.13535,0.04657,-0.00029,0.02645,1.55727
220,22,-2.30031,-7.13913,0.04893,-0.0001,0.02632,1.55711
221,22.1,-2.3004,-7.13647,0.04546,-0.00022,0.02642,1.55728
222,22.2,-2.29865,-7.13789,0.04547,-0.00023,0.02635,1.55695
223,22.3,-2.30535,-7.13875,0.0465,-0.00025,0.02611,1.55706
224,22.4,-2.29913,-7.1361,0.04524,-0.00011,0.02627,1.55706
225,22.5,-2.29926,-7.13675,0.04612,-0.00017,0.02623,1.55723
226,22.6,-2.30244,-7.13729,0.04674,-0.00016,0.02636,1.5574
227,22.7,-2.30227,-7.13864,0.0504,-0.00029,0.02658,1.55703
228,22.8,-2.29922,-7.13741,0.04516,-0.00012,0.02647,1.55709
229,22.9,-2.29894,-7.13638,0.04725,-0.00029,0.02627,1.55731
230,23,-2.30014,-7.13838,0.04831,-0.0005,0.02636,1.55673
231,23.1,-2.30431,-7.1387,0.04992,-0.00016,0.02662,1.55725
232,23.2,-2.29587,-7.13175,0.04334,-0.00016,0.02584,1.55745
233,23.3,-2.29954,-7.13852,0.04397,-0.00012,0.02595,1.55722
234,23.4,-2.30031,-7.13601,0.04493,-5E-05,0.02641,1.55725
235,23.5,-2.30264,-7.13802,0.04647,-0.00021,0.02624,1.55703
236,23.6,-2.29887,-7.13622,0.04544,-0.00025,0.02606,1.5573
237,23.7,-2.29993,-7.13802,0.04559,-5E-05,0.02641,1.55715
238,23.8,-2.29705,-7.12549,0.03883,0.00022,0.0261,1.55768
239,23.9,-2.29811,-7.13155,0.04466,-0.0004,0.02602,1.55742
240,24,-2.30078,-7.134,0.04761,-0.00026,0.02661,1.55701
241,24.1,-2.29876,-7.13854,0.05002,-0.00055,0.0262,1.55738
242,24.2,-2.30103,-7.13581,0.0449,-9E-05,0.02645,1.55739
243,24.3,-2.30094,-7.13637,0.04493,-3E-05,0.02627,1.55679
244,24.4,-2.29865,-7.13269,0.04395,-0.00021,0.02578,1.55749
245,24.5,-2.29967,-7.13704,0.04687,-8E-05,0.0261,1.55731
246,24.6,-2.30276,-7.1381,0.04424,-0.00013,0.02598,1.5571
247,24.7,-2.30309,-7.14241,0.0492,-0.00029,0.02647,1.55701
248,24.8,-2.29793,-7.13125,0.04516,-0.0004,0.0261,1.55753
249,24.9,-2.29725,-7.13804,0.04715,-0.00012,0.02654,1.557
250,25,-2.30052,-7.13758,0.04815,-0.0001,0.02641,1.55744
251,25.1,-2.30318,-7.13605,0.04256,-0.00022,0.02617,1.55674
252,25.2,-2.29831,-7.13804,0.04529,-0.00019,0.02621,1.5574
253,25.3,-2.29948,-7.13762,0.04531,-0.0002,0.02609,1.55737
254,25.4,-2.30104,-7.13499,0.04357,-0.00019,0.0264,1.55704
255,25.5,-2.29842,-7.13613,0.04528,5E-05,0.02625,1.55756
256,25.6,-2.29348,-7.12218,0.03255,0.00038,0.02568,1.55783
257,25.7,-2.30196,-7.13642,0.04534,-0.0002,0.02637,1.55657
258,25.8,-2.29742,-7.13592,0.0479,-0.00033,0.02639,1.55774
259,25.9,-2.30295,-7.13801,0.04366,-2E-05,0.02662,1.55662
260,26,-2.29805,-7.13669,0.04446,-0.00026,0.02651,1.5573
261,26.1,-2.29615,-7.1382,0.05103,-0.00021,0.02628,1.5576
262,26.2,-2.30267,-7.13731,0.04749,-0.00038,0.02664,1.55651
263,26.3,-2.30159,-7.13604,0.04445,-0.00036,0.02591,1.55784
264,26.4,-2.30062,-7.13691,0.04783,3E-05,0.02645,1.55689
265,26.5,-2.30083,-7.13642,0.04476,-0.00017,0.02631,1.55707
266,26.6,-2.30096,-7.13611,0.04709,-0.00035,0.02634,1.55729
267,26.7,-2.30017,-7.14023,0.04963,-0.00037,0.02625,1.55668
268,26.8,-2.30208,-7.13681,0.04741,-0.00015,0.02643,1.55729
269,26.9,-2.29946,-7.13485,0.04731,-0.00027,0.0262,1.5572
270,27,-2.29701,-7.13832,0.04582,-5E-05,0.02647,1.55704
271,27.1,-2.30214,-7.13685,0.04614,-0.00029,0.02618,1.5571
272,27.2,-2.30441,-7.13499,0.04889,-0.00035,0.02659,1.55705
273,27.3,-2.29814,-7.1385,0.04772,-0.00061,0.02648,1.55699
274,27.4,-2.30024,-7.13734,0.04598,-1E-05,0.02628,1.55767
275,27.5,-2.29911,-7.13692,0.04828,-0.00031,0.02663,1.55717
276,27.6,-2.30419,-7.13997,0.04272,-0.00031,0.02599,1.55689
277,27.7,-2.29862,-7.13397,0.04423,0.00013,0.02641,1.55714
278,27.8,-2.29946,-7.13514,0.04919,-0.00041,0.02657,1.55753
279,27.9,-2.30336,-7.1339,0.04606,-0.00044,0.02612,1.55719
280,28,-2.29861,-7.13912,0.04663,-0.00019,0.0266,1.55763
281,28.1,-2.30365,-7.13645,0.04795,-8E-05,0.0263,1.55685
282,28.2,-2.29895,-7.13515,0.04066,-0.00017,0.02591,1.5573
283,28.3,-2.30309,-7.13737,0.04397,-0.00018,0.02594,1.55726
284,28.4,-2.29958,-7.13573,0.04874,-0.00031,0.02667,1.55721
285,28.5,-2.29895,-7.13742,0.04711,-0.00025,0.02652,1.55731
286,28.6,-2.30155,-7.13707,0.04672,-0.00037,0.02642,1.5573
287,28.7,-2.2986,-7.13736,0.04583,-1E-05,0.02644,1.55686
288,28.8,-2.29977,-7.13707,0.04396,-0.00013,0.0263,1.55753
289,28.9,-2.29651,-7.14094,0.04634,-7E-05,0.02629,1.55689
290,29,-2.30085,-7.1349,0.04346,0.00026,0.02609,1.55699
291,29.1,-2.30086,-7.13483,0.04497,-0.00033,0.0261,1.55768
292,29.2,-2.30093,-7.13915,0.04598,-0.00033,0.0264,1.55695
293,29.3,-2.29844,-7.13665,0.04442,-0.00035,0.0262,1.55728
294,29.4,-2.30279,-7.13886,0.04932,0.00014,0.02651,1.55724
295,29.5,-2.30149,-7.13748,0.0457,-0.00055,0.02647,1.55737
296,29.6,-2.29981,-7.13842,0.04443,8E-05,0.02627,1.55685
297,29.7,-2.29914,-7.13471,0.04867,-2E-05,0.02665,1.55702
298,29.8,-2.30088,-7.13633,0.04777,-0.00047,0.02645,1.5577
299,29.9,-2.30469,-7.13686,0.04353,-0.00039,0.0263,1.55687
300,30,-2.30004,-7.1348,0.04388,0.0002,0.02628,1.55715
301,30.1,-2.29782,-7.13914,0.0466,-8E-05,0.02611,1.55736
302,30.2,-2.30072,-7.13685,0.04385,-0.00026,0.02593,1.55724
303,30.3,-2.30161,-7.13764,0.04739,4E-05,0.02663,1.55751
304,30.4,-2.30147,-7.13428,0.04449,-0.00018,0.02632,1.55675
305,30.5,-2.30267,-7.13492,0.04831,-0.00021,0.02632,1.55749
306,30.6,-2.30282,-7.13768,0.04739,-0.00039,0.02628,1.55708
307,30.7,-2.30128,-7.13766,0.04549,-0.00025,0.02654,1.5573
308,30.8,-2.30261,-7.13727,0.04299,-0.00014,0.02619,1.55735
309,30.9,-2.29584,-7.13547,0.04679,-0.00017,0.02642,1.55747
310,31,-2.30206,-7.13928,0.04349,-0.00041,0.02621,1.557
311,31.1,-2.30239,-7.13543,0.04716,-0.00053,0.02664,1.55714
312,31.2,-2.29964,-7.13602,0.044,-0.00023,0.02636,1.55771
313,31.3,-2.30168,-7.13656,0.04222,1E-05,0.02595,1.55662
314,31.4,-2.29968,-7.13459,0.0442,-0.00024,0.02599,1.55751
315,31.5,-2.2999,-7.13836,0.04227,3E-05,0.02614,1.5573
316,31.6,-2.29941,-7.13701,0.04422,-0.00039,0.02637,1.55719
317,31.7,-2.30148,-7.13556,0.0426,9E-05,0.02602,1.557
318,31.8,-2.29955,-7.13741,0.04131,-0.00013,0.02603,1.55701
319,31.9,-2.30319,-7.13653,0.04439,-0.00044,0.02599,1.55742
320,32,-2.29917,-7.13423,0.04524,-2E-05,0.02631,1.55693
321,32.1,-2.29631,-7.13653,0.04048,-0.00019,0.02605,1.55758
322,32.2,-2.30176,-7.1352,0.0451,-0.00014,0.02616,1.5567
323,32.3,-2.29918,-7.14006,0.04678,-0.00031,0.02617,1.55737
324,32.4,-2.30178,-7.13282,0.04687,-0.00033,0.02664,1.55687
325,32.5,-2.29849,-7.13803,0.04426,0.00017,0.02612,1.55732
326,32.6,-2.29851,-7.13633,0.04572,-0.00034,0.0266,1.55734
327,32.7,-2.30107,-7.13398,0.04521,-0.00043,0.02671,1.55695
328,32.8,-2.30091,-7.14006,0.04588,0.00013,0.02611,1.55722
329,32.9,-2.29986,-7.13516,0.04635,-0.00049,0.0265,1.55721
330,33,-2.30065,-7.13821,0.03975,2E-05,0.02603,1.55765
331,33.1,-2.30434,-7.13455,0.0436,-0.00022,0.02617,1.55677
332,33.2,-2.30147,-7.13743,0.0453,-0.00043,0.02644,1.5571
333,33.3,-2.29605,-7.13326,0.04954,-0.00025,0.0265,1.55742
334,33.4,-2.29889,-7.13568,0.04473,-0.0002,0.02632,1.55692
335,33.5,-2.29886,-7.13783,0.04575,-0.00018,0.02606,1.55741
336,33.6,-2.29811,-7.13557,0.04974,-0.00016,0.02654,1.55729
337,33.7,-2.29921,-7.13386,0.04541,-0.00048,0.02645,1.55757
338,33.8,-2.30064,-7.13835,0.04829,0,0.02618,1.5567
339,33.9,-2.30066,-7.13784,0.04933,-0.00056,0.02688,1.55717
340,34,-2.29948,-7.13338,0.04691,-9E-05,0.02603,1.55726
341,34.1,-2.30413,-7.13676,0.04201,-0.00029,0.02621,1.5572
342,34.2,-2.30042,-7.1365,0.04691,-0.00038,0.02672,1.55702
343,34.3,-2.2966,-7.13518,0.04555,-0.00023,0.0263,1.55774
344,34.4,-2.30199,-7.13782,0.04608,-0.00034,0.02603,1.55716
345,34.5,-2.29963,-7.1377,0.04399,-0.00011,0.02628,1.55681
346,34.6,-2.30084,-7.13665,0.0463,-0.00033,0.02631,1.55718
347,34.7,-2.29928,-7.13547,0.04401,-0.00022,0.02653,1.55706
348,34.8,-2.30087,-7.1417,0.0439,-0.0005,0.02631,1.55713
349,34.9,-2.30008,-7.12582,0.04568,2E-05,0.02605,1.55747
350,35,-2.30048,-7.13714,0.0471,-0.00042,0.02648,1.55728
351,35.1,-2.29769,-7.13676,0.04799,-0.00031,0.02623,1.55734
352,35.2,-2.30264,-7.1352,0.0489,-0.0006,0.02639,1.55765
353,35.3,-2.30086,-7.1387,0.04552,-0.00056,0.02672,1.55683
354,35.4,-2.30217,-7.13644,0.04759,-0.00017,0.02616,1.55731
355,35.5,-2.30103,-7.13561,0.04918,-0.00043,0.02646,1.55753
356,35.6,-2.30117,-7.13584,0.05154,-0.00033,0.02665,1.55707
